"contact_id","days_since_last_purchase","order_num","total_sales","product_num","active_days"
"6995732",26,6,144.75,5,338
"6058568",346,2,30.92,2,18
"35343092",102,3,123.85,2,262
"4163241",364,1,123.95,1,0
"3803008",364,1,869.95,1,0
"21185708",320,3,280.78,4,44
"19194568",364,1,49.95,1,0
"21722469",364,1,87.3,1,0
"45797660",364,1,219.96,2,0
"22375882",224,5,132.75,5,140
"23779794",364,1,276.31,6,0
"5859064",364,1,119.95,1,0
"26897405",364,1,27.95,1,0
"19156093",364,1,29.95,1,0
"25668590",364,1,99.96,1,0
"23754608",364,1,97.95,1,0
"30659098",364,1,49.9,2,0
"28822375",364,1,128.85,2,0
"3039736",364,1,35.95,1,0
"1925766",364,1,39.9,1,0
"21524612",364,1,25.95,1,0
"18779348",348,2,307.9,2,16
"8382612",364,1,137.8,2,0
"37229742",364,1,79.9,1,0
"28700356",132,2,289.9,3,232
"33839384",364,1,51.12,1,0
"9002759",364,1,77.95,1,0
"27754188",200,8,310.2,8,164
"3954565",364,1,12.95,1,0
"21524928",364,1,99.95,1,0
"8389501",364,1,17.95,1,0
"27534781",11,9,649.01,10,353
"17490559",364,1,76.97,1,0
"32800235",364,1,19.95,1,0
"21739645",240,22,1165.9,17,124
"31312327",364,1,39.9,2,0
"46717780",156,2,36.9,2,208
"41569510",354,2,99.9,2,10
"31060270",364,1,59.85,1,0
"45766988",364,1,19.95,1,0
"21180271",92,8,476.47,8,272
"4833543",364,1,29.5,1,0
"46016748",364,1,429.43,1,0
"3568846",296,2,47.92,2,68
"26572271",364,1,180.55,2,0
"8056389",69,2,132.13,4,295
"42640750",329,2,102.9,2,35
"47805166",364,1,19.95,1,0
"24505786",364,1,30.95,1,0
"35070054",198,2,503.2,3,166
"38627730",136,3,392.8,5,228
"19512878",364,1,244.96,1,0
"40911411",364,1,25.56,1,0
"40105374",75,5,361.7,4,289
"46845306",364,1,161.14,1,0
"36343192",23,2,96.9,2,341
"46119396",364,1,29.95,1,0
"1111119",364,1,24.95,1,0
"33329391",364,1,84.95,1,0
"10070862",364,1,43.65,1,0
"25889340",364,1,299.9,2,0
"29621682",364,1,31.95,1,0
"19708369",364,1,64.57,1,0
"18156766",364,1,48.94,2,0
"21736384",364,1,49.95,1,0
"4816582",364,1,209.95,1,0
"20438296",364,1,69.95,1,0
"42461713",268,3,111.85,3,96
"3860576",14,3,474.45,5,350
"32076533",364,1,25.9,1,0
"41072964",126,2,194.9,2,238
"15064123",364,1,61.39,3,0
"933239",364,1,68.95,1,0
"31936566",191,2,347.85,2,173
"3400574",364,1,358.79,2,0
"41849168",364,1,111.97,1,0
"15199225",364,1,77.95,1,0
"42837147",186,3,325.85,3,178
"23992103",364,1,57.95,1,0
"26003217",9,4,119.85,5,355
"21370397",364,1,47.7,1,0
"25140767",364,1,89.95,1,0
"3783221",364,1,64.85,2,0
"34450303",364,1,371.85,1,0
"8208112",364,1,45.95,1,0
"45303233",124,2,489.9,2,240
"47203391",219,9,1130.27,15,145
"40524858",364,1,149.95,1,0
"4031745",345,2,132.85,3,19
"10877133",364,1,41.52,2,0
